question_id,topic,minimum_level,question,tests_knowledge_of,follow_up_question_id,tags,reference_url,active
IQ001,Names and objects,Junior,"What is the difference between == and is in Python?","Value equality compared with object identity",IQ002,"equality;identity;objects",https://docs.python.org/3/reference/expressions.html#is-not,TRUE
IQ002,Names and objects,Junior,"When should is be used instead of == in Python?","Appropriate identity comparisons, including singleton objects",,"identity;singletons;none",https://peps.python.org/pep-0008/#programming-recommendations,TRUE
IQ003,Mutation and copying,Junior,"What is the difference between mutable and immutable objects in Python?","Mutation, rebinding, and object identity",IQ004,"mutability;immutability;objects",https://docs.python.org/3/glossary.html#term-immutable,TRUE
IQ004,Mutation and copying,Mid-level,"What is the difference between a shallow copy and a deep copy?","How nested compound objects are copied",,"copying;shallow-copy;deep-copy",https://docs.python.org/3/library/copy.html,TRUE
IQ005,Functions as objects,Junior,"Why is a callback function passed without parentheses?","The difference between passing a function object and calling it",IQ006,"functions;callbacks;callables",https://docs.python.org/3/reference/datamodel.html#object.__call__,TRUE
IQ006,Functions as objects,Mid-level,"What does it mean that functions are first-class objects in Python?","Assigning, passing, and returning functions like other objects",,"functions;first-class-objects;callables",https://docs.python.org/3/howto/functional.html,TRUE
IQ007,Iteration,Junior,"What is the difference between an iterable and an iterator?","Iterable objects, iterator objects, and repeated traversal",IQ008,"iteration;iterable;iterator",https://docs.python.org/3/glossary.html#term-iterator,TRUE
IQ008,Iteration,Mid-level,"How does a Python for loop use the iteration protocol?","The roles of iter(), next(), and StopIteration",,"iteration;iter;next;stopiteration",https://docs.python.org/3/library/stdtypes.html#iterator-types,TRUE
IQ009,Type annotations,Junior,"What is the purpose of type annotations in Python?","How annotations communicate expected types to readers and tools",IQ010,"typing;annotations;static-analysis",https://docs.python.org/3/library/typing.html,TRUE
IQ010,Type annotations,Mid-level,"Does Python enforce type annotations at runtime?","The distinction between runtime behaviour and static type checking",,"typing;runtime;static-analysis",https://docs.python.org/3/library/typing.html,TRUE
IQ011,Context managers,Junior,"What is a context manager and when would you use one?","Managing setup and cleanup around a defined scope",IQ012,"context-managers;with;resource-management",https://docs.python.org/3/reference/compound_stmts.html#the-with-statement,TRUE
IQ012,Context managers,Mid-level,"What roles do __enter__() and __exit__() perform in the context manager protocol?","Entering a managed context, returning its bound value, and performing cleanup",IQ013,"context-managers;enter;exit;protocol",https://docs.python.org/3/reference/datamodel.html#context-managers,TRUE
IQ013,Context managers,Mid-level,"How can __exit__() respond to an exception raised inside a with block?","Receiving exception details and optionally suppressing the exception",,"context-managers;exceptions;exit",https://docs.python.org/3/reference/datamodel.html#object.__exit__,TRUE
