exhibit_link_id,question_id,display_order,exhibit_name,exhibit_path,relationship
EL001,IQ001,1,"Names and Objects","pythonic_thinking/mental_model/names_and_objects_example.py","Demonstrates value equality, object identity, aliasing, and rebinding."
EL002,IQ002,1,"Names and Objects","pythonic_thinking/mental_model/names_and_objects_example.py","Shows when identity differs from value equality."
EL003,IQ003,1,"Mutation and Copying","pythonic_thinking/mental_model/mutation_and_copying_example.py","Demonstrates mutation, immutable values, aliasing, and rebinding."
EL004,IQ004,1,"Mutation and Copying","pythonic_thinking/mental_model/mutation_and_copying_example.py","Compares shallow and deep copying of nested objects."
EL005,IQ005,1,"Functions as Objects","pythonic_thinking/mental_model/functions_as_objects_example.py","Explains passing a function object without calling it."
EL006,IQ005,2,"Button and Event Handling","native_gui/button_event_handling.py","Uses callback functions in a practical Tkinter event-driven interface."
EL007,IQ006,1,"Functions as Objects","pythonic_thinking/mental_model/functions_as_objects_example.py","Demonstrates assigning, passing, storing, and returning functions."
EL008,IQ007,1,"Iteration","pythonic_thinking/mental_model/iteration_example.py","Distinguishes iterable objects from iterator objects."
EL009,IQ008,1,"Iteration","pythonic_thinking/mental_model/iteration_example.py","Shows how iter(), next(), and StopIteration support for loops."
EL010,IQ009,1,"Type Annotations","pythonic_thinking/type_system/type_annotations_example.py","Introduces annotations for readers, editors, and static analysis tools."
EL011,IQ010,1,"Type Annotations","pythonic_thinking/type_system/type_annotations_example.py","Contrasts static type checking with Python's runtime behaviour."
EL012,IQ011,1,"Context Managers","pythonic_thinking/context_managers/context_manager_example.py","Explains the context manager lifecycle and reliable cleanup."
EL013,IQ011,2,"SQLite CRUD","database_basics/sqlite_crud.py","Uses context management for transaction-safe database operations."
EL014,IQ012,1,"Context Managers","pythonic_thinking/context_managers/context_manager_example.py","Demonstrates the roles of __enter__() and __exit__()."
EL015,IQ013,1,"Context Managers","pythonic_thinking/context_managers/context_manager_example.py","Demonstrates exception information, propagation, suppression, and cleanup."
